rm -Rf scoring
rm -Rf package
rm -Rf package
mkdir package
mkdir package/predictions
mkdir package/datasets
rsync -ar --exclude='**/test_y.npy' datasets/* package/datasets/
cp -R evaluation/main.py package/main.py
cp -R daniel-1/* package
cd package; python3 main.py
==============================================================================
=============    Your NAS Unseen-Data 2026 Submission is running     =============
==============================================================================
========== Dataset   Ganges   =============================================
  Metadata:
   - num_classes         : 6
   - input_shape         : [4500, 1, 27, 18]
   - codename            : Ganges
   - benchmark           : 27.5
   - time_limit          : 0.1
   - time_remaining      : 359.9957920983434

=== Processing Data ===
  Allotted compute time remaining: ~5m,59s
[DataProcessor] augmentation: quantized/categorical (noise only) - shape 1x27x18, 2 unique values seen in 20000 sampled

=== Performing NAS ===
  Allotted compute time remaining: ~5m,57s
[NAS] macro: c0=32 n=2 d=2 stem_stride=1 (H=27, W=18 -> 6x4)
[NAS] scoring up to 15625 genotypes (full search space)
[NAS] scored 0 genotypes
[NAS] scored 380 genotypes, verifying top 14 (max_batches=20, batch_size=512, t_batch~0.085s, t_val~0.02s)
  [NAS] verify: val=15.50% t=0.7s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=18.50% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=17.00% t=0.6s
  [NAS] verify: val=18.50% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.50% t=0.6s
  [NAS] verify: val=15.83% t=0.5s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.00% t=0.5s
  [NAS] verify: val=15.50% t=0.6s
  [NAS] verify: val=15.50% t=0.6s
[NAS] selected genotype (val=18.50%): ['conv1x1', 'conv1x1', 'conv3x3', 'conv3x3', 'conv1x1', 'conv3x3']

=== Training ===
  Allotted compute time remaining: ~5m,36s
[Trainer] weight decay on 40 tensors, none on 79 (BN/bias)
  [Trainer] Epoch   1 | train=16.67% val=17.00% gap= -0.33 | loss=1.8460 | lr=0.01000 | t/ep=  0.5s t/eval= 0.1s | rem=   336s
  [Trainer] Epoch  19 | train=67.27% val=41.96% gap=+25.30 | loss=1.6351 | lr=0.00978 | t/ep=  1.3s t/eval= 0.2s | rem=   306s
  [Trainer] Epoch  20 | train=71.45% val=51.74% gap=+19.70 | loss=1.5443 | lr=0.00975 | t/ep=  1.3s t/eval= 0.2s | rem=   305s
  [Trainer] Epoch  21 | train=75.68% val=50.83% gap=+24.85 | loss=1.4549 | lr=0.00973 | t/ep=  1.3s t/eval= 0.2s | rem=   303s
  [Trainer] Epoch  22 | train=77.66% val=53.72% gap=+23.93 | loss=1.4088 | lr=0.00970 | t/ep=  1.3s t/eval= 0.2s | rem=   302s
  [Trainer] Epoch  23 | train=79.24% val=60.45% gap=+18.79 | loss=1.3505 | lr=0.00967 | t/ep=  1.3s t/eval= 0.2s | rem=   300s
  [Trainer] Epoch  24 | train=79.22% val=58.12% gap=+21.10 | loss=1.3378 | lr=0.00964 | t/ep=  1.3s t/eval= 0.2s | rem=   299s
  [Trainer] Epoch  25 | train=80.37% val=52.57% gap=+27.80 | loss=1.3088 | lr=0.00961 | t/ep=  1.3s t/eval= 0.2s | rem=   297s
  [Trainer] Epoch  26 | train=84.63% val=61.24% gap=+23.39 | loss=1.2349 | lr=0.00958 | t/ep=  1.3s t/eval= 0.2s | rem=   296s
  [Trainer] Epoch  27 | train=85.18% val=63.06% gap=+22.11 | loss=1.2051 | lr=0.00954 | t/ep=  1.3s t/eval= 0.2s | rem=   294s
  [Trainer] Epoch  28 | train=88.20% val=63.26% gap=+24.94 | loss=1.1365 | lr=0.00951 | t/ep=  1.3s t/eval= 0.2s | rem=   293s
  [Trainer] Epoch  29 | train=89.32% val=67.10% gap=+22.21 | loss=1.0965 | lr=0.00947 | t/ep=  1.3s t/eval= 0.2s | rem=   291s
  [Trainer] Epoch  30 | train=91.56% val=70.27% gap=+21.29 | loss=1.0514 | lr=0.00943 | t/ep=  1.3s t/eval= 0.2s | rem=   290s
  [Trainer] Epoch  31 | train=92.91% val=72.29% gap=+20.62 | loss=1.0204 | lr=0.00939 | t/ep=  1.3s t/eval= 0.2s | rem=   288s
  [Trainer] Epoch  32 | train=93.34% val=73.71% gap=+19.63 | loss=1.0036 | lr=0.00935 | t/ep=  1.3s t/eval= 0.2s | rem=   287s
  [Trainer] Epoch  33 | train=94.22% val=73.12% gap=+21.10 | loss=0.9767 | lr=0.00931 | t/ep=  1.3s t/eval= 0.2s | rem=   285s
  [Trainer] Epoch  34 | train=94.57% val=75.18% gap=+19.39 | loss=0.9669 | lr=0.00927 | t/ep=  1.3s t/eval= 0.2s | rem=   284s
  [Trainer] Epoch  35 | train=94.51% val=71.14% gap=+23.37 | loss=0.9570 | lr=0.00922 | t/ep=  1.3s t/eval= 0.2s | rem=   282s
  [Trainer] Epoch  36 | train=95.78% val=77.00% gap=+18.78 | loss=0.9410 | lr=0.00918 | t/ep=  1.3s t/eval= 0.3s | rem=   281s
  [Trainer] Epoch  37 | train=95.68% val=74.54% gap=+21.14 | loss=0.9278 | lr=0.00913 | t/ep=  1.3s t/eval= 0.2s | rem=   279s
  [Trainer] Epoch  38 | train=96.66% val=76.44% gap=+20.22 | loss=0.9068 | lr=0.00908 | t/ep=  1.3s t/eval= 0.2s | rem=   278s
  [Trainer] Epoch  39 | train=97.01% val=77.47% gap=+19.54 | loss=0.8938 | lr=0.00903 | t/ep=  1.3s t/eval= 0.2s | rem=   276s
  [Trainer] Epoch  40 | train=97.27% val=78.38% gap=+18.88 | loss=0.8853 | lr=0.00898 | t/ep=  1.3s t/eval= 0.2s | rem=   275s
  [Trainer] Epoch  41 | train=97.70% val=79.37% gap=+18.32 | loss=0.8717 | lr=0.00893 | t/ep=  1.3s t/eval= 0.2s | rem=   273s
  [Trainer] Epoch  42 | train=97.52% val=78.62% gap=+18.90 | loss=0.8636 | lr=0.00888 | t/ep=  1.3s t/eval= 0.2s | rem=   272s
  [Trainer] Epoch  43 | train=98.01% val=80.09% gap=+17.92 | loss=0.8540 | lr=0.00883 | t/ep=  1.3s t/eval= 0.2s | rem=   270s
  [Trainer] Epoch  44 | train=98.07% val=79.22% gap=+18.85 | loss=0.8494 | lr=0.00878 | t/ep=  1.3s t/eval= 0.2s | rem=   269s
  [Trainer] Epoch  45 | train=98.42% val=79.81% gap=+18.61 | loss=0.8401 | lr=0.00872 | t/ep=  1.3s t/eval= 0.2s | rem=   267s
  [Trainer] Epoch  46 | train=98.40% val=80.96% gap=+17.44 | loss=0.8357 | lr=0.00867 | t/ep=  1.3s t/eval= 0.2s | rem=   266s
  [Trainer] Epoch  47 | train=98.91% val=78.70% gap=+20.20 | loss=0.8240 | lr=0.00861 | t/ep=  1.3s t/eval= 0.2s | rem=   264s
  [Trainer] Epoch  48 | train=98.59% val=81.20% gap=+17.40 | loss=0.8279 | lr=0.00855 | t/ep=  1.3s t/eval= 0.2s | rem=   263s
  [Trainer] Epoch  49 | train=98.71% val=81.27% gap=+17.44 | loss=0.8187 | lr=0.00849 | t/ep=  1.3s t/eval= 0.2s | rem=   261s
  [Trainer] Epoch  50 | train=98.73% val=83.10% gap=+15.63 | loss=0.8144 | lr=0.00843 | t/ep=  1.3s t/eval= 0.2s | rem=   260s
  [Trainer] Epoch  51 | train=98.69% val=83.73% gap=+14.96 | loss=0.8128 | lr=0.00837 | t/ep=  1.3s t/eval= 0.2s | rem=   258s
  [Trainer] Epoch  52 | train=99.00% val=83.10% gap=+15.91 | loss=0.8048 | lr=0.00831 | t/ep=  1.3s t/eval= 0.2s | rem=   257s
  [Trainer] Epoch  53 | train=99.36% val=83.37% gap=+15.98 | loss=0.7974 | lr=0.00825 | t/ep=  1.3s t/eval= 0.2s | rem=   255s
  [Trainer] Epoch  54 | train=99.47% val=82.11% gap=+17.37 | loss=0.7887 | lr=0.00818 | t/ep=  1.3s t/eval= 0.2s | rem=   254s
  [Trainer] Epoch  55 | train=99.18% val=82.86% gap=+16.32 | loss=0.7886 | lr=0.00812 | t/ep=  1.3s t/eval= 0.2s | rem=   252s
  [Trainer] Epoch  56 | train=99.30% val=82.70% gap=+16.60 | loss=0.7862 | lr=0.00805 | t/ep=  1.3s t/eval= 0.2s | rem=   251s
  [Trainer] Epoch  57 | train=99.38% val=84.72% gap=+14.66 | loss=0.7872 | lr=0.00799 | t/ep=  1.4s t/eval= 0.2s | rem=   249s
  [Trainer] Epoch  58 | train=99.47% val=83.65% gap=+15.82 | loss=0.7796 | lr=0.00791 | t/ep=  1.3s t/eval= 0.2s | rem=   247s
  [Trainer] Epoch  59 | train=99.71% val=83.37% gap=+16.33 | loss=0.7779 | lr=0.00785 | t/ep=  1.3s t/eval= 0.2s | rem=   246s
  [Trainer] Epoch  60 | train=99.41% val=85.00% gap=+14.42 | loss=0.7773 | lr=0.00778 | t/ep=  1.3s t/eval= 0.2s | rem=   244s
  [Trainer] Epoch  61 | train=99.61% val=84.16% gap=+15.44 | loss=0.7734 | lr=0.00771 | t/ep=  1.3s t/eval= 0.2s | rem=   243s
  [Trainer] Epoch  62 | train=99.51% val=84.92% gap=+14.59 | loss=0.7718 | lr=0.00764 | t/ep=  1.3s t/eval= 0.2s | rem=   241s
  [Trainer] Epoch  63 | train=99.49% val=84.80% gap=+14.69 | loss=0.7739 | lr=0.00757 | t/ep=  1.3s t/eval= 0.2s | rem=   240s
  [Trainer] Epoch  64 | train=99.51% val=83.89% gap=+15.62 | loss=0.7759 | lr=0.00750 | t/ep=  1.3s t/eval= 0.2s | rem=   238s
  [Trainer] Epoch  65 | train=99.67% val=83.69% gap=+15.98 | loss=0.7689 | lr=0.00743 | t/ep=  1.3s t/eval= 0.2s | rem=   237s
  [Trainer] Epoch  66 | train=99.55% val=85.04% gap=+14.52 | loss=0.7681 | lr=0.00736 | t/ep=  1.3s t/eval= 0.2s | rem=   235s
  [Trainer] Epoch  67 | train=99.73% val=85.19% gap=+14.53 | loss=0.7615 | lr=0.00728 | t/ep=  1.3s t/eval= 0.2s | rem=   234s
  [Trainer] Epoch  68 | train=99.69% val=83.61% gap=+16.08 | loss=0.7592 | lr=0.00721 | t/ep=  1.3s t/eval= 0.2s | rem=   232s
  [Trainer] Epoch  69 | train=99.82% val=86.82% gap=+13.01 | loss=0.7572 | lr=0.00713 | t/ep=  1.3s t/eval= 0.2s | rem=   231s
  [Trainer] Epoch  70 | train=99.84% val=84.56% gap=+15.28 | loss=0.7556 | lr=0.00706 | t/ep=  1.3s t/eval= 0.2s | rem=   229s
  [Trainer] Epoch  71 | train=99.67% val=85.00% gap=+14.67 | loss=0.7583 | lr=0.00698 | t/ep=  1.3s t/eval= 0.2s | rem=   228s
  [Trainer] Epoch  72 | train=99.71% val=85.08% gap=+14.63 | loss=0.7558 | lr=0.00691 | t/ep=  1.3s t/eval= 0.2s | rem=   227s
  [Trainer] Epoch  73 | train=99.80% val=85.31% gap=+14.49 | loss=0.7540 | lr=0.00683 | t/ep=  1.3s t/eval= 0.2s | rem=   225s
  [Trainer] Epoch  74 | train=99.79% val=86.26% gap=+13.52 | loss=0.7533 | lr=0.00676 | t/ep=  1.3s t/eval= 0.2s | rem=   224s
  [Trainer] Epoch  75 | train=99.77% val=86.34% gap=+13.42 | loss=0.7523 | lr=0.00668 | t/ep=  1.3s t/eval= 0.2s | rem=   222s
  [Trainer] Epoch  76 | train=99.84% val=86.06% gap=+13.78 | loss=0.7496 | lr=0.00660 | t/ep=  1.3s t/eval= 0.2s | rem=   221s
  [Trainer] Epoch  77 | train=99.79% val=86.26% gap=+13.52 | loss=0.7482 | lr=0.00652 | t/ep=  1.3s t/eval= 0.2s | rem=   219s
  [Trainer] Epoch  78 | train=99.80% val=86.03% gap=+13.78 | loss=0.7476 | lr=0.00645 | t/ep=  1.3s t/eval= 0.2s | rem=   218s
  [Trainer] Epoch  79 | train=99.88% val=85.91% gap=+13.98 | loss=0.7452 | lr=0.00637 | t/ep=  1.4s t/eval= 0.2s | rem=   216s
  [Trainer] Epoch  80 | train=99.90% val=86.70% gap=+13.20 | loss=0.7440 | lr=0.00628 | t/ep=  1.3s t/eval= 0.2s | rem=   215s
  [Trainer] Epoch  81 | train=99.86% val=86.82% gap=+13.05 | loss=0.7427 | lr=0.00620 | t/ep=  1.3s t/eval= 0.2s | rem=   213s
  [Trainer] Epoch  82 | train=99.80% val=86.58% gap=+13.23 | loss=0.7425 | lr=0.00612 | t/ep=  1.3s t/eval= 0.2s | rem=   212s
  [Trainer] Epoch  83 | train=99.84% val=85.91% gap=+13.94 | loss=0.7413 | lr=0.00604 | t/ep=  1.3s t/eval= 0.2s | rem=   210s
  [Trainer] Epoch  84 | train=99.84% val=86.62% gap=+13.22 | loss=0.7436 | lr=0.00596 | t/ep=  1.3s t/eval= 0.2s | rem=   209s
  [Trainer] Epoch  85 | train=99.90% val=85.43% gap=+14.47 | loss=0.7403 | lr=0.00588 | t/ep=  1.3s t/eval= 0.2s | rem=   207s
  [Trainer] Epoch  86 | train=99.80% val=86.78% gap=+13.03 | loss=0.7398 | lr=0.00580 | t/ep=  1.3s t/eval= 0.2s | rem=   206s
  [Trainer] Epoch  87 | train=99.92% val=86.94% gap=+12.99 | loss=0.7380 | lr=0.00572 | t/ep=  1.3s t/eval= 0.2s | rem=   204s
  [Trainer] Epoch  88 | train=99.86% val=87.37% gap=+12.49 | loss=0.7394 | lr=0.00564 | t/ep=  1.3s t/eval= 0.2s | rem=   203s
  [Trainer] Epoch  89 | train=99.79% val=87.61% gap=+12.18 | loss=0.7406 | lr=0.00556 | t/ep=  1.3s t/eval= 0.2s | rem=   201s
  [Trainer] Epoch  90 | train=99.90% val=86.06% gap=+13.84 | loss=0.7372 | lr=0.00547 | t/ep=  1.3s t/eval= 0.2s | rem=   200s
  [Trainer] Epoch  91 | train=99.92% val=86.58% gap=+13.34 | loss=0.7367 | lr=0.00539 | t/ep=  1.3s t/eval= 0.2s | rem=   198s
  [Trainer] Epoch  92 | train=99.77% val=86.66% gap=+13.11 | loss=0.7370 | lr=0.00531 | t/ep=  1.3s t/eval= 0.2s | rem=   197s
  [Trainer] Epoch  93 | train=99.86% val=87.65% gap=+12.21 | loss=0.7352 | lr=0.00523 | t/ep=  1.3s t/eval= 0.2s | rem=   195s
  [Trainer] Epoch  94 | train=99.84% val=87.09% gap=+12.75 | loss=0.7345 | lr=0.00514 | t/ep=  1.3s t/eval= 0.2s | rem=   194s
  [Trainer] Epoch  95 | train=99.90% val=85.87% gap=+14.04 | loss=0.7325 | lr=0.00506 | t/ep=  1.3s t/eval= 0.2s | rem=   192s
  [Trainer] Epoch  96 | train=99.90% val=86.66% gap=+13.24 | loss=0.7314 | lr=0.00498 | t/ep=  1.3s t/eval= 0.2s | rem=   191s
  [Trainer] Epoch  97 | train=99.92% val=87.17% gap=+12.75 | loss=0.7304 | lr=0.00490 | t/ep=  1.3s t/eval= 0.2s | rem=   189s
  [Trainer] Epoch  98 | train=99.90% val=86.62% gap=+13.28 | loss=0.7308 | lr=0.00482 | t/ep=  1.3s t/eval= 0.2s | rem=   188s
  [Trainer] Epoch  99 | train=99.90% val=86.78% gap=+13.12 | loss=0.7305 | lr=0.00473 | t/ep=  1.3s t/eval= 0.2s | rem=   186s
  [Trainer] Epoch 100 | train=99.86% val=87.41% gap=+12.45 | loss=0.7309 | lr=0.00465 | t/ep=  1.3s t/eval= 0.2s | rem=   185s
  [Trainer] Epoch 101 | train=99.92% val=87.65% gap=+12.27 | loss=0.7301 | lr=0.00457 | t/ep=  1.3s t/eval= 0.2s | rem=   183s
  [Trainer] Epoch 102 | train=99.86% val=86.90% gap=+12.97 | loss=0.7304 | lr=0.00449 | t/ep=  1.4s t/eval= 0.2s | rem=   182s
  [Trainer] Epoch 103 | train=99.92% val=87.41% gap=+12.51 | loss=0.7304 | lr=0.00440 | t/ep=  1.3s t/eval= 0.2s | rem=   180s
  [Trainer] Epoch 104 | train=99.90% val=87.69% gap=+12.21 | loss=0.7297 | lr=0.00432 | t/ep=  1.3s t/eval= 0.2s | rem=   179s
  [Trainer] Epoch 105 | train=99.94% val=87.33% gap=+12.61 | loss=0.7277 | lr=0.00423 | t/ep=  1.3s t/eval= 0.2s | rem=   177s
  [Trainer] Epoch 106 | train=99.92% val=87.85% gap=+12.08 | loss=0.7278 | lr=0.00415 | t/ep=  1.3s t/eval= 0.2s | rem=   176s
  [Trainer] Epoch 107 | train=99.96% val=87.33% gap=+12.63 | loss=0.7269 | lr=0.00407 | t/ep=  1.3s t/eval= 0.2s | rem=   174s
  [Trainer] Epoch 108 | train=99.98% val=88.08% gap=+11.90 | loss=0.7269 | lr=0.00399 | t/ep=  1.3s t/eval= 0.2s | rem=   173s
  [Trainer] Epoch 109 | train=99.92% val=87.37% gap=+12.55 | loss=0.7269 | lr=0.00391 | t/ep=  1.3s t/eval= 0.2s | rem=   171s
  [Trainer] Epoch 110 | train=99.94% val=88.12% gap=+11.82 | loss=0.7262 | lr=0.00383 | t/ep=  1.3s t/eval= 0.2s | rem=   170s
  [Trainer] Epoch 111 | train=99.96% val=88.08% gap=+11.88 | loss=0.7258 | lr=0.00375 | t/ep=  1.3s t/eval= 0.2s | rem=   168s
  [Trainer] Epoch 112 | train=99.94% val=87.69% gap=+12.25 | loss=0.7251 | lr=0.00367 | t/ep=  1.3s t/eval= 0.2s | rem=   167s
  [Trainer] Epoch 113 | train=99.98% val=87.97% gap=+12.02 | loss=0.7243 | lr=0.00359 | t/ep=  1.3s t/eval= 0.2s | rem=   165s
  [Trainer] Epoch 114 | train=99.96% val=87.69% gap=+12.27 | loss=0.7242 | lr=0.00351 | t/ep=  1.3s t/eval= 0.2s | rem=   164s
  [Trainer] Epoch 115 | train=99.92% val=88.72% gap=+11.20 | loss=0.7247 | lr=0.00343 | t/ep=  1.3s t/eval= 0.2s | rem=   162s
  [Trainer] Epoch 116 | train=99.94% val=88.16% gap=+11.78 | loss=0.7234 | lr=0.00335 | t/ep=  1.3s t/eval= 0.2s | rem=   161s
  [Trainer] Epoch 117 | train=99.92% val=87.97% gap=+11.96 | loss=0.7243 | lr=0.00327 | t/ep=  1.3s t/eval= 0.2s | rem=   159s
  [Trainer] Epoch 118 | train=99.98% val=88.08% gap=+11.90 | loss=0.7233 | lr=0.00320 | t/ep=  1.3s t/eval= 0.2s | rem=   158s
  [Trainer] Epoch 119 | train=99.98% val=87.97% gap=+12.02 | loss=0.7227 | lr=0.00312 | t/ep=  1.3s t/eval= 0.2s | rem=   156s
  [Trainer] Epoch 120 | train=99.96% val=88.36% gap=+11.60 | loss=0.7225 | lr=0.00304 | t/ep=  1.3s t/eval= 0.2s | rem=   155s
  [Trainer] Epoch 121 | train=99.94% val=87.97% gap=+11.98 | loss=0.7232 | lr=0.00297 | t/ep=  1.3s t/eval= 0.2s | rem=   153s
  [Trainer] Epoch 122 | train=99.94% val=88.00% gap=+11.94 | loss=0.7222 | lr=0.00289 | t/ep=  1.4s t/eval= 0.2s | rem=   152s
  [Trainer] Epoch 123 | train=99.96% val=88.36% gap=+11.60 | loss=0.7226 | lr=0.00281 | t/ep=  1.3s t/eval= 0.2s | rem=   150s
  [Trainer] Epoch 124 | train=99.96% val=87.73% gap=+12.23 | loss=0.7210 | lr=0.00274 | t/ep=  1.3s t/eval= 0.2s | rem=   149s
  [Trainer] Epoch 125 | train=99.94% val=88.04% gap=+11.90 | loss=0.7222 | lr=0.00267 | t/ep=  1.3s t/eval= 0.2s | rem=   147s
  [Trainer] Epoch 126 | train=99.90% val=87.97% gap=+11.94 | loss=0.7215 | lr=0.00259 | t/ep=  1.3s t/eval= 0.2s | rem=   146s
  [Trainer] Epoch 127 | train=99.94% val=87.93% gap=+12.02 | loss=0.7208 | lr=0.00252 | t/ep=  1.3s t/eval= 0.2s | rem=   144s
  [Trainer] Epoch 128 | train=100.00% val=88.36% gap=+11.64 | loss=0.7214 | lr=0.00245 | t/ep=  1.3s t/eval= 0.2s | rem=   143s
  [Trainer] Epoch 129 | train=99.98% val=87.97% gap=+12.02 | loss=0.7208 | lr=0.00238 | t/ep=  1.3s t/eval= 0.2s | rem=   141s
  [Trainer] Epoch 130 | train=100.00% val=87.73% gap=+12.27 | loss=0.7205 | lr=0.00231 | t/ep=  1.3s t/eval= 0.2s | rem=   140s
  [Trainer] Epoch 131 | train=99.98% val=88.40% gap=+11.58 | loss=0.7207 | lr=0.00224 | t/ep=  1.3s t/eval= 0.2s | rem=   138s
  [Trainer] Epoch 132 | train=99.92% val=88.20% gap=+11.72 | loss=0.7205 | lr=0.00217 | t/ep=  1.3s t/eval= 0.2s | rem=   137s
  [Trainer] Epoch 133 | train=99.96% val=87.93% gap=+12.04 | loss=0.7203 | lr=0.00210 | t/ep=  1.3s t/eval= 0.2s | rem=   135s
  [Trainer] Epoch 134 | train=99.94% val=87.69% gap=+12.25 | loss=0.7193 | lr=0.00204 | t/ep=  1.3s t/eval= 0.2s | rem=   134s
  [Trainer] Epoch 135 | train=99.98% val=88.44% gap=+11.54 | loss=0.7191 | lr=0.00197 | t/ep=  1.3s t/eval= 0.2s | rem=   132s
  [Trainer] Epoch 136 | train=99.96% val=87.93% gap=+12.04 | loss=0.7202 | lr=0.00191 | t/ep=  1.3s t/eval= 0.2s | rem=   131s
  [Trainer] Epoch 137 | train=99.98% val=88.48% gap=+11.50 | loss=0.7201 | lr=0.00184 | t/ep=  1.3s t/eval= 0.2s | rem=   129s
  [Trainer] Epoch 138 | train=99.98% val=88.00% gap=+11.98 | loss=0.7191 | lr=0.00178 | t/ep=  1.3s t/eval= 0.2s | rem=   128s
  [Trainer] Epoch 139 | train=99.96% val=88.24% gap=+11.72 | loss=0.7194 | lr=0.00172 | t/ep=  1.3s t/eval= 0.2s | rem=   126s
  [Trainer] Epoch 140 | train=100.00% val=88.04% gap=+11.96 | loss=0.7199 | lr=0.00165 | t/ep=  1.3s t/eval= 0.2s | rem=   125s
  [Trainer] Epoch 141 | train=99.96% val=88.36% gap=+11.60 | loss=0.7187 | lr=0.00159 | t/ep=  1.3s t/eval= 0.2s | rem=   123s
  [Trainer] Epoch 142 | train=99.96% val=87.57% gap=+12.39 | loss=0.7192 | lr=0.00153 | t/ep=  1.3s t/eval= 0.2s | rem=   122s
  [Trainer] Epoch 143 | train=99.98% val=88.40% gap=+11.58 | loss=0.7187 | lr=0.00147 | t/ep=  1.3s t/eval= 0.2s | rem=   120s
  [Trainer] Epoch 144 | train=100.00% val=87.97% gap=+12.03 | loss=0.7186 | lr=0.00142 | t/ep=  1.3s t/eval= 0.2s | rem=   119s
  [Trainer] Epoch 145 | train=99.98% val=88.48% gap=+11.50 | loss=0.7187 | lr=0.00136 | t/ep=  1.3s t/eval= 0.2s | rem=   117s
  [Trainer] Epoch 146 | train=99.96% val=88.24% gap=+11.72 | loss=0.7184 | lr=0.00130 | t/ep=  1.3s t/eval= 0.2s | rem=   116s
  [Trainer] Epoch 147 | train=99.98% val=88.28% gap=+11.70 | loss=0.7181 | lr=0.00125 | t/ep=  1.3s t/eval= 0.2s | rem=   114s
  [Trainer] Epoch 148 | train=100.00% val=88.24% gap=+11.76 | loss=0.7182 | lr=0.00119 | t/ep=  1.3s t/eval= 0.2s | rem=   113s
  [Trainer] Epoch 149 | train=100.00% val=88.28% gap=+11.72 | loss=0.7183 | lr=0.00114 | t/ep=  1.3s t/eval= 0.2s | rem=   111s
  [Trainer] Epoch 150 | train=100.00% val=88.52% gap=+11.48 | loss=0.7182 | lr=0.00109 | t/ep=  1.3s t/eval= 0.2s | rem=   110s
  [Trainer] Epoch 151 | train=99.98% val=88.48% gap=+11.50 | loss=0.7187 | lr=0.00104 | t/ep=  1.3s t/eval= 0.2s | rem=   108s
  [Trainer] Epoch 152 | train=99.96% val=88.60% gap=+11.36 | loss=0.7185 | lr=0.00099 | t/ep=  1.3s t/eval= 0.2s | rem=   107s
  [Trainer] Epoch 153 | train=100.00% val=88.24% gap=+11.76 | loss=0.7182 | lr=0.00094 | t/ep=  1.4s t/eval= 0.2s | rem=   105s
  [Trainer] Epoch 154 | train=99.98% val=88.20% gap=+11.78 | loss=0.7174 | lr=0.00089 | t/ep=  1.3s t/eval= 0.2s | rem=   104s
  [Trainer] Epoch 155 | train=99.98% val=88.52% gap=+11.46 | loss=0.7171 | lr=0.00084 | t/ep=  1.3s t/eval= 0.2s | rem=   102s
  [Trainer] Epoch 156 | train=99.98% val=88.64% gap=+11.34 | loss=0.7181 | lr=0.00080 | t/ep=  1.3s t/eval= 0.2s | rem=   101s
  [Trainer] Epoch 157 | train=100.00% val=88.40% gap=+11.60 | loss=0.7172 | lr=0.00075 | t/ep=  1.3s t/eval= 0.2s | rem=    99s
  [Trainer] Epoch 158 | train=100.00% val=88.24% gap=+11.76 | loss=0.7173 | lr=0.00071 | t/ep=  1.3s t/eval= 0.2s | rem=    98s
  [Trainer] Epoch 159 | train=100.00% val=88.36% gap=+11.64 | loss=0.7169 | lr=0.00067 | t/ep=  1.3s t/eval= 0.2s | rem=    96s
  [Trainer] Epoch 160 | train=100.00% val=88.56% gap=+11.44 | loss=0.7174 | lr=0.00063 | t/ep=  1.3s t/eval= 0.2s | rem=    95s
  [Trainer] Epoch 161 | train=100.00% val=88.52% gap=+11.48 | loss=0.7168 | lr=0.00059 | t/ep=  1.3s t/eval= 0.2s | rem=    93s
  [Trainer] Epoch 162 | train=100.00% val=88.64% gap=+11.36 | loss=0.7171 | lr=0.00055 | t/ep=  1.3s t/eval= 0.2s | rem=    92s
  [Trainer] Epoch 163 | train=99.98% val=88.64% gap=+11.34 | loss=0.7172 | lr=0.00051 | t/ep=  1.3s t/eval= 0.2s | rem=    90s
  [Trainer] Epoch 164 | train=100.00% val=88.60% gap=+11.40 | loss=0.7167 | lr=0.00048 | t/ep=  1.3s t/eval= 0.2s | rem=    89s
  [Trainer] Epoch 165 | train=99.98% val=88.52% gap=+11.46 | loss=0.7170 | lr=0.00044 | t/ep=  1.3s t/eval= 0.2s | rem=    87s
  [Trainer] Epoch 166 | train=99.98% val=88.48% gap=+11.50 | loss=0.7171 | lr=0.00041 | t/ep=  1.3s t/eval= 0.2s | rem=    86s
  [Trainer] Epoch 167 | train=99.96% val=88.48% gap=+11.48 | loss=0.7172 | lr=0.00038 | t/ep=  1.3s t/eval= 0.2s | rem=    84s
  [Trainer] Epoch 168 | train=100.00% val=88.32% gap=+11.68 | loss=0.7171 | lr=0.00035 | t/ep=  1.3s t/eval= 0.2s | rem=    83s
  [Trainer] Epoch 169 | train=100.00% val=88.48% gap=+11.52 | loss=0.7164 | lr=0.00032 | t/ep=  1.3s t/eval= 0.2s | rem=    81s
  [Trainer] Epoch 170 | train=99.98% val=88.48% gap=+11.50 | loss=0.7170 | lr=0.00029 | t/ep=  1.4s t/eval= 0.2s | rem=    80s
  [Trainer] Epoch 171 | train=100.00% val=88.52% gap=+11.48 | loss=0.7166 | lr=0.00026 | t/ep=  1.3s t/eval= 0.2s | rem=    78s
  [Trainer] Epoch 172 | train=100.00% val=88.52% gap=+11.48 | loss=0.7172 | lr=0.00023 | t/ep=  1.3s t/eval= 0.2s | rem=    77s
  [Trainer] Epoch 173 | train=100.00% val=88.48% gap=+11.52 | loss=0.7171 | lr=0.00021 | t/ep=  1.3s t/eval= 0.2s | rem=    75s
  [Trainer] Epoch 174 | train=99.96% val=88.44% gap=+11.52 | loss=0.7169 | lr=0.00019 | t/ep=  1.3s t/eval= 0.2s | rem=    74s
  [Trainer] Epoch 175 | train=100.00% val=88.36% gap=+11.64 | loss=0.7169 | lr=0.00017 | t/ep=  1.3s t/eval= 0.2s | rem=    72s
